no.;Kode Baru;Nama Bahan Makanan;Komposisi Zat Gizi Makanan per 100 gram BDD (Bagian yang Dapat Dimakan) - Sumber: TKPI 2019;;;;;;;;;;;;;;;;;;;;;;Mentah /Olahan;Kelompok Makanan;Sumber TKPI 2019;Porsi (g)
;;;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium (Ca);Fosfor (P);Besi (Fe);Natrium (Na);Kalium (Ka);Tembaga (Cu);Seng (Zn);Retinol (vit. A);β-karoten;Karoten total;Thiamin (vit. B1);Riboflavin (vit. B2);Niasin;Vitamin C;BDD;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;(g);(Kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;
112;AP113;Wingko babat;29,7;355;3,2;15,1;51,4;2,4;0,7;47;63;1,1;-;-;-;-;-;-;-;0,08;0,08;-;-;100;Olahan;Serealia;KZGPI-1990;100
113;AP114;Yangko;37,4;254;3;1,1;58,1;0,8;0,4;184;24;2,6;-;-;-;-;-;-;96;0,15;-;-;-;100;Olahan;Serealia;KZGPI-1990;100
114;AP99;Putri hijau;54,8;189;5,4;2,1;37,2;-;0,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KGZMI-2001;100
115;AR001;Beras giling, mentah;12;357;8,4;1,7;77,1;0,2;0,8;147;81;1,8;27;71;0,1;0,5;-;-;-;0,2;0,08;2,6;-;100;Tunggal;Serealia;KZGMI-2001;100
116;AR002;Beras giling var pelita, mentah;11,4;369;9,5;1,4;77,1;0,4;0,6;68;171;1,4;34;-;-;-;-;-;-;0,26;-;-;-;100;Tunggal;Serealia;KZGPI-1990;100
117;AR003;Beras giling var rojolele, mentah;12;357;8,4;1,7;77,1;0,2;0,8;147;81;1,8;34;112,9;0,14;0,1;-;-;80;0,2;0,02;1,5;-;100;Tunggal;Serealia;KZGPI-1990;100
118;AR004;Beras hitam, mentah;12,9;351;8;1,3;76,9;20,1;0,9;6;198;0,1;15;105;0,1;1,6;-;-;-;0,21;0,06;-;-;100;Tunggal;Serealia;KZGMI-2001;100
119;AR005;Beras jagung kuning, kering, mentah;10,8;358;5,5;0,1;82,7;10;0,9;20;90;1,4;1;80;0,1;4,1;-;641;-;0,12;0,08;1;3;100;Tunggal;Serealia;KZGMI-2001;100
120;AR006;Beras jagung putih, kering, mentah;22,5;307;4,8;0,1;71,8;10;0,8;17;78;1,2;1;70;0,1;3,5;-;301;-;0,15;0,07;0,9;-;100;Tunggal;Serealia;KZGMI-2001;100
121;AR007;Beras ketan hitam tumbuk, mentah;13,7;360;8;2,3;74,5;1;1,5;10;347;6,2;11;288;0,28;2,2;-;-;-;0,24;0,1;2;-;100;Tunggal;Serealia;KZGPI-1990;100
122;AR008;Beras ketan putih tumbuk, mentah;12,9;361;7,4;0,8;78,4;0,4;0,5;13;157;3,4;3;282;0,28;2,2;-;-;-;0,28;-;1,4;-;100;Tunggal;Serealia;KZGPI-1990;100
123;AR009;Beras ladang, mentah;9,8;376;7,5;3,8;78;5,9;0,9;20;110;0,8;10;70;0,1;1,4;-;-;-;0,2;0,2;5,1;-;100;Tunggal;Serealia;KZGMI-2001;100
124;AR010;Beras menir, mentah;12;362;7,7;4,4;73;0,2;0,2;22;272;3,7;90;201;0,1;0,5;-;-;-;0,55;0,04;1,9;-;100;Tunggal;Serealia;DABM-1964;100
125;AR011;Beras parboiled;10;353;6,8;0,6;80;0,5;2,5;5;142;0,8;2;46;0,28;1;-;-;-;0,22;0,11;3,4;-;100;Tunggal;Serealia;DABM-1964;100
126;AR012;Beras tumbuk, mentah;11,5;354;7,8;0,4;79,9;3,8;0,4;3;112;0,6;5;85;0,5;1,5;-;-;-;0,25;0,22;5,1;-;100;Tunggal;Serealia;KZGMI-2001;100
127;AR013;Beras tumbuk merah, mentah;14,6;352;7,3;0,9;76,2;0,8;1;15;257;4,2;10;202;0,36;1,9;-;-;-;0,34;0,05;3,3;-;100;Tunggal;Serealia;KZGPI-1990;100
128;AR014;Cantel, mentah;11;366;11;3,3;73;1,2;1,7;28;287;4,4;7;249;-;-;-;-;-;0,09;0,14;2,8;-;100;Tunggal;Serealia;DABM-1964;100
129;AR015;Jagung muda, kuning, mentah;61,8;147;5,1;0,7;31,5;1,3;0,9;6;122;1,1;5;33,6;0,13;0,8;-;113;261;0,24;0,05;0,8;9;100;Tunggal;Serealia;KZGPI-1990;100
130;AR016;Jagung kuning pipil, kering, mentah;11,5;366;9,8;7,3;69,1;2,2;2,4;30;538;2,3;5;79,4;0,1;1,9;-;636;641;0,12;0,12;1,8;3;100;Tunggal;Serealia;KZGPI-1990;100
131;AR017;Jagung pipil var. harapan, kering;11,3;367;6,2;5,1;76,2;2,6;1,2;7;354;2,8;1;79,6;0,1;1,9;-;637;385;0,19;0,08;1;-;100;Tunggal;Serealia;KZGPI-1990;100
132;AR018;Jagung pipil var. metro, kering;10,6;368;5,5;4,6;78;2,9;1,3;7;300;2,4;1;80,2;0,1;1,9;-;642;554;0,16;0,08;1;-;100;Tunggal;Serealia;KZGPI-1990;100
133;AR019;Jali, mentah;23;324;11;4;61;3,1;1;213;176;11;24;-;0,1;0,4;-;-;-;0,14;0,08;1,8;-;90;Tunggal;Serealia;DABM-1964;100
134;AR020;Jawawut, mentah;11,9;364;9,7;3,5;73,4;8,2;1,5;28;311;5,3;7;255,1;0,45;1,5;-;33;-;0,33;0,28;4,5;-;100;Tunggal;Serealia;DABM-1964;100
135;AR021;Jampang huma, mentah;11,7;350;6,2;1,4;78,2;1,7;2,5;329;254;5,3;53;396,7;0,7;1,6;-;33;-;0,51;0,3;0,7;-;100;Tunggal;Serealia;DABM-1964;100
136;BP001;Batatas kelapa, ubi, bakar;73,2;110;1,4;1,1;23,4;4,5;0,7;1;46;0,2;12;230;0,2;0,3;-;-;-;1,13;-;-;-;85;Olahan;Umbi;KZGMI-2001;100
137;BP002;Batatas kelapa, ubi, kukus;75,7;92;1,2;0,3;21;4,1;1,8;-;42;0,2;10;209;0,2;0,3;-;-;-;0,28;-;0,7;-;100;Olahan;Umbi;KZGMI-2001;100
138;BP003;Batatas tali, ubi, rebus;53,2;182;2,4;0,4;42,2;9,2;1,8;1;80;0,3;20;402;0,3;0,6;-;-;-;0,27;-;1,3;-;100;Olahan;Umbi;KZGMI-2001;100
139;BP004;Belitung, talas, kukus;63,1;145;1,2;0,4;34,2;1;1,1;21;48;0,9;7;552,6;0,2;0,9;-;-;-;0,08;0,1;2,3;1;100;Olahan;Umbi;KZGPI-1990;100
140;BP005;Bentul, talas, kukus;81,1;71;2,3;0,3;15,4;0,5;0,9;29;26;0,6;-;201;0,2;0,6;-;-;-;0,06;-;-;21;100;Olahan;Umbi;KZGPI-1990;100
141;BP006;Gadung, ubi, kukus;77,4;88;0,6;0,3;20,9;0,9;0,8;26;47;0,4;6;584;0,2;0,2;-;-;-;0,03;-;0,4;-;100;Olahan;Umbi;KZGPI-1990;100
142;BP007;Ganyong, rebus;74,1;100;0,8;0,2;23,8;0,9;1,1;15;65;0,9;-;-;-;-;-;-;-;0,04;-;-;6;100;Olahan;Umbi;KZGPI-1990;100
143;BP008;Ketela pohon/singkong kukus;61,5;153;1,2;0,3;36,4;1,3;0,6;56;22;0,4;2;345,3;0,3;0,1;-;-;-;-;-;0,3;20;100;Olahan;Umbi;KZGPI-1990;100
144;BP009;Suweg, talas, kukus;75,5;93;1,5;0,1;21,9;0,9;1;50;58;0,8;6;350,3;0,1;0,1;-;-;283;0,09;-;0,3;-;100;Olahan;Umbi;KZGPI-1990;100
145;BP010;Talas bogor, kukus;69,2;120;1,5;0,3;28,2;0,7;0,8;31;63;0,7;11;498;0,2;0,6;-;-;-;0,05;0,6;0,8;2;100;Olahan;Umbi;KZGPI-1990;100
146;BP011;Ubi jalar, kuning, kukus;74,2;100;0,7;0,3;23,8;1;1;44;46;0,4;3;0,8;0,1;0,2;-;819;4.427;-;0,1;0,6;16;100;Olahan;Umbi;KZGPI-1990;100
147;BP012;Ubi jalar tinta/ kemayung kukus;58,5;165;0,9;0,2;39,8;1,1;0,6;20;23;0,8;1;0,9;0,1;0,2;-;-;-;0,02;0,1;0,5;-;100;Olahan;Umbi;KZGPI-1990;100
148;BP013;Bagea kelapa asin;3,5;450;3,2;13,9;78,1;-;1,3;38;38;0,3;74;-;0,2;0,2;-;-;-;0,3;-;-;-;100;Olahan;Umbi;KZGMI-2001;100
149;BP014;Bagea kelapa manis;3;452;1,3;13,8;80,6;-;1,3;38;39;0,3;75;-;0,2;0,2;-;-;0,3;-;-;-;-;100;Olahan;Umbi;KZGMI-2001;100
150;BP015;Bagea kenari asin;2,8;529;3,2;29,1;63,6;-;1,3;38;40;0,4;74;-;0,2;0,2;-;-;-;0,3;-;-;-;100;Olahan;Umbi;KZGMI-2001;100
151;BP016;Bagea kenari manis;3,1;523;3,2;28,2;64,2;-;1,3;38;39;0,3;74;-;0,2;0,2;-;-;-;0,3;-;-;-;100;Olahan;Umbi;KZGMI-2001;100
152;BP017;Bagea kw 1;7,2;416;6,5;9,4;76,3;0,4;0,6;49;77;4,9;-;-;-;-;13;-;312;0,08;-;2,6;-;100;Olahan;Umbi;KZGPI-1990;100
153;BP018;Bagea kw 2;7,9;382;0,3;3,5;87,2;0,9;1,1;172;120;7,6;-;-;-;-;-;-;-;0,02;-;-;-;100;Olahan;Umbi;KZGPI-1990;100
154;BP019;Beras Cerdas;11,3;350;2,7;1,1;82,3;6,2;2,6;28;351;2,9;358;568;0,2;0,9;-;0,4;-;0,02;0,2;0,3;0,2;100;Olahan;Umbi;BKP;100
155;BP020;Beras ganyong;9,3;364;3,4;0,7;86,3;4,7;0,5;4;47;5;4;72,2;0,2;0,6;-;1.000;0,1;0,02;0,02;0,3;0,2;100;Olahan;Umbi;BKP;100
156;BP021;Beras Siger;13,5;344;1,1;0,2;28,3;5,6;0,7;32;22;5,6;106;77,9;0,1;0,5;-;-;-;0,02;0,1;0,2;0,2;100;Olahan;Umbi;BKP;100
157;BP022;Biji nangka/Biji salak;40,5;262;2,3;5,4;51,1;8;0,7;60;80;0,8;10;2;0,6;2;-;1.667;-;0,1;1;-;10;100;Olahan;Umbi;KZGMI-2001;100
158;BP023;Bubur sagu;62,5;167;0,2;4;33;-;0,3;3;3;0,1;7;-;0,1;0,1;-;-;-;9;-;0,1;-;100;Olahan;Umbi;KZGMI-2001;100
159;BP024;Cassavastick;5,6;460;0,8;18,7;17,2;1,6;2,7;144;58;7,5;-;-;-;-;-;-;107;0,19;0,07;0,1;-;100;Olahan;Umbi;KZGPI-1990;100
160;BP025;Ceriping getuk singkong;7,2;462;1,2;20,7;67,7;0,6;3,2;1.248;172;8,8;-;-;-;-;-;-;152;0,29;0,02;0,5;-;100;Olahan;Umbi;KZGPI-1990;100
161;BP026;Gatot;12,8;347;1,3;0,7;83,8;5,8;1,4;78;44;17,1;28;242;0,2;0,7;-;-;-;0,02;0,1;0,4;0,2;100;Olahan;Umbi;BKP;100
162;BP027;Geblek;52,1;195;0,4;1,7;44,4;3,6;1,4;35;13;0,6;353;125;0,3;0,3;-;-;0,3;0,02;-;0,1;0,2;100;Olahan;Umbi;BKP;100
163;BP028;Getuk goreng;16,5;360;1,3;6,4;74,3;0,8;1,5;59;81;3,2;-;-;-;-;-;-;-;0,21;-;0,1;-;100;Olahan;Umbi;KZGPI-1990;100
164;BP029;Getuk singkong;49,8;204;0,5;1,4;47,4;0,8;1,1;97;52;1,5;-;-;-;-;-;-;208;0,08;-;0,1;-;100;Olahan;Umbi;KZGPI-1990;100
165;BP030;Gurandil;47,5;218;0,5;2,5;48,5;3,1;1;50;25;2,8;-;-;-;-;-;-;-;0,19;-;-;-;100;Olahan;Umbi;KZGPI-1990;100
166;BP031;Kabuto;58,9;250;2,6;2,5;35,4;1,8;0,6;35;49;1,1;2;218;-;-;-;-;-;0,1;0,1;0,6;-;100;Olahan;Umbi;KZGMI-2001;100
167;BP032;Kapurung;79,6;41;2;0,3;7,8;2;0,6;34;12;0,3;185;566;0,1;0,3;-;213;-;0,12;0,25;2,7;15;100;Olahan;Umbi;KZGMI-2001;100
168;BP033;Kecimpring singkong goreng;3,7;464;1,2;18,6;73;1,3;3,5;82;52;3,4;-;-;-;-;-;-;3.320;0,34;-;-;-;100;Olahan;Umbi;KZGPI-1990;100
169;BP034;Keremes;6,7;475;1,6;25,2;64,4;2,1;2,1;153;88;1;-;-;-;-;-;-;1.000;-;-;-;-;100;Olahan;Umbi;KZGPI-1990;100
170;BP035;Keripik gadung;4;446;2,8;14,5;76;1,7;2,8;147;52;1,9;-;-;-;-;-;-;-;0,95;-;-;-;100;Olahan;Umbi;KZGPI-1990;100
171;BP036;Keripik kentang;7,8;448;2,7;18,8;67,1;3,8;3,6;25;130;1,2;712;406;1,1;-;-;15;-;0,1;0,05;2,8;-;100;Olahan;Umbi;KZGMI-2001;100
172;BP037;Keripik singkong;4,2;478;0,9;20,7;72;2;2,2;189;101;1,9;-;-;-;-;-;-;-;0,24;-;-;-;100;Olahan;Umbi;KZGPI-1990;100
173;BP038;Keripik singkong berbumbu;2,2;481;2,2;19,7;73,6;1,6;2,3;156;103;1,6;-;-;-;-;-;-;80;0,31;-;-;-;100;Olahan;Umbi;KZGPI-1990;100
174;BP039;Keripik ubi;6;486;0,2;23,9;67,6;14,3;2,3;68;92;0,9;52;2;0,7;2,3;-;920;-;0,1;0,1;0,5;-;100;Olahan;Umbi;KZGMI-2001;100
175;BP040;Kerupuk cumi goreng;3,4;444;6,9;14,6;71,3;5;3,8;47;375;1,8;837;191;0,1;0,3;-;-;-;0,4;0,1;1,8;-;100;Olahan;Umbi;KZGMI-2001;100
176;BP041;Kerupuk kemplang (ikan) mentah;14,2;325;1,8;0,4;78,5;4,5;5,1;59;268;2,3;1.123;273;0,2;0,5;32;-;-;0,6;0,1;2,3;-;100;Olahan;Umbi;KZGMI-2001;100
177;BP042;Kerupuk kemplang goreng;5,8;504;5,6;28,1;57,1;0,3;3,4;50;94;2,9;-;-;-;-;6;-;280;0,31;-;-;-;100;Olahan;Umbi;KZGPI-1990;100
178;BP043;Kerupuk kemplang panggang;9,4;356;9,7;1,1;76,9;1;3;62;129;2,9;-;-;-;-;7;-;280;0,36;-;-;-;100;Olahan;Umbi;KZGPI-1990;100
179;BP044;Kerupuk mie kuning goreng;7,2;476;0,1;21,1;71,3;4,2;0,3;57;36;4,6;-;109;0,1;0,2;-;-;333;0,22;-;0,9;-;100;Olahan;Umbi;KZGPI-1990;100
180;BP045;Kerupuk udang goreng;4,4;477;4,7;20,5;68,5;5;1,9;24;188;0,9;449;109;0,1;0,2;-;-;-;0,2;-;0,9;-;100;Olahan;Umbi;KZGMI-2001;100
181;BP046;Kue bangket;16,1;338;1,5;1,2;80,3;-;0,9;34;35;0,3;67;-;0,2;0,2;-;-;-;0,3;-;-;-;100;Olahan;Umbi;KZGMI-2001;100
182;BP047;Kue putu singkong;44,2;217;1,2;0,5;53,2;2,4;0,9;48;68;1,5;3;305;-;-;-;-;-;0,1;0,1;0,8;-;100;Olahan;Umbi;KZGMI-2001;100
183;BP048;Lanting getuk;4,2;422;0,9;10,8;80,4;1,4;3,8;206;104;3,6;-;-;-;-;-;-;-;0,43;-;-;-;100;Olahan;Umbi;KZGPI-1990;100
184;BP049;Mi golosor;82,9;71;0,2;0,8;15,9;0,1;0,2;117;5;0,2;-;-;-;-;-;-;112;0,05;0,02;-;-;100;Olahan;Umbi;KZGPI-1990;100
185;BP050;Mie Bendo;11,5;353;0,3;-;88;2,4;0,2;28;14;2,8;9;49,2;0,5;0,1;-;2.000;-;0,02;-;0,1;0,2;100;Olahan;Umbi;BKP;100
186;BP051;Mie Sagu;52,8;190;0,2;0,4;46,5;1,4;0,1;8;7;0,3;10;2,6;0,1;-;-;2.000;-;-;0,4;-;0,2;100;Olahan;Umbi;BKP;100
187;BP052;Ongol-ongol sagu;75,3;111;0,3;2,7;21,2;0,3;0,5;79;15;1,7;-;-;-;-;-;-;-;0,06;-;-;-;100;Olahan;Umbi;KZGPI-1990;100
188;BP053;Oyek;12,6;351;0,9;0,9;84,9;4,3;0,7;60;36;2,1;5;229;0,1;0,5;-;-;-;0,02;0,02;0,5;0,2;100;Olahan;Umbi;BKP;100
189;BP054;Papeda;84,8;61;0,2;0,1;14,9;0,5;0,1;3;1;0,2;4;20;0,1;0,1;-;-;-;0,06;-;-;-;100;Olahan;Umbi;KZGMI-2001;100
190;BP055;Rasbi (Beras Ubi);11,1;394;2,2;8,8;76,6;6,8;1,3;68;76;1,6;165;388;0,4;0,4;-;-;-;0,02;0,3;1,2;0,2;100;Olahan;Umbi;BKP;100
191;BP056;Rasi (Beras Singkong);12,6;350;0,9;0,4;85,7;14,4;0,5;42;21;1,5;8;14;0,3;0,5;-;-;-;0,02;0,02;0,4;0,2;100;Olahan;Umbi;BKP;100
192;BP057;Sagu forno;31,5;291;0,5;4;63,4;-;0,6;10;20;0,8;40;50;0,1;0,2;-;-;-;-;-;-;-;100;Olahan;Umbi;KZGMI-2001;100
193;BP058;Sagu Lemak (Kue Sagon);4,3;452;2,8;14,8;76,8;1,1;0,7;15;39;1,1;182;52,7;0,04;0,8;-;1.220;-;0,32;0,04;0,1;0,2;100;Olahan;Umbi;BKP;100
194;BP059;Sagu manis;32,6;287;0,5;3,9;62,4;-;0,6;8;17;0,7;34;42;0,1;0,2;-;-;-;-;-;-;-;100;Olahan;Umbi;KZGMI-2001;100
195;BP060;Sagu Rendang;8,2;364;0,1;0,2;90,5;1,9;1;13;9;3,9;42;15,1;0,1;0,1;-;-;-;0,02;0,6;0,8;0,2;100;Olahan;Umbi;BKP;100
196;BP061;Sagu sinole;22;354;0,8;8,3;68,9;-;0,1;10;30;0,8;30;11;0,2;0,3;-;-;-;-;-;-;-;100;Olahan;Umbi;KZGMI-2001;100
197;BP062;Serimping talas kebumen;4,8;478;2,5;21,2;69,2;1,7;2,3;112;118;2,3;-;-;-;-;-;-;-;0,25;-;-;-;100;Olahan;Umbi;KZGPI-1990;100
198;BP063;Tapai singkong;57,4;169;1,4;0,3;40,2;2;0,7;21;34;0,8;-;-;-;-;-;-;-;-;-;-;9;100;Olahan;Umbi;KZGPI-1990;100
199;BP064;Tepung Arrowroot;13,6;355;0,7;0,2;85,2;0,4;0,3;8;22;1,5;2;10,7;-;0,1;-;20;3;0,09;-;-;-;100;Olahan;Umbi;DABM-1964;100
200;BP065;Tepung Ganyong;13,6;353;0,8;1,7;83,6;0,7;0,3;4;31;3,3;3;63,5;0,1;0,3;-;-;-;0,02;-;0,9;1;100;Olahan;Umbi;BKP;100
201;BP066;Tepung Gaplek;13;345;2,4;0,4;83,1;6,7;1,1;18;95;1,5;6;55;0,4;1,2;-;1.000;-;0,3;0,2;0,1;0,2;100;Olahan;Umbi;BKP;100
202;BP067;Tepung kentang, kering;13;347;0,3;0,1;85,6;0,4;1;20;30;0,5;51;156,3;0,2;0,5;-;-;-;0,04;-;0,4;-;100;Olahan;Umbi;DABM-1964;100
203;BP068;Tepung Mocaf;11,9;350;1,2;0,6;85;6;1,3;60;64;15,8;8;403;0,1;0,6;-;-;-;0,02;0,02;0,7;2;100;Olahan;Umbi;BKP;100
204;BP069;Tepung Sente;15,3;326;4;0,4;76,7;8,5;3,6;41;141;3,5;14;1.602,00;0,4;1,4;-;-;-;0,02;0,2;7,7;0,2;100;Olahan;Umbi;BKP;100
205;BP070;Tepung singkong/ Tapioka;9,1;363;1,1;0,5;88,2;0,9;1,1;84;125;1;1;7,1;-;0,1;-;-;-;0,04;-;0,4;-;100;Olahan;Umbi;DABM-1964;100
206;BP071;Tepung Tales Beneng;12,2;332;5,7;0,6;76,1;12,2;5,5;59;302;10,7;7;1.404,00;0,8;6,2;-;0,2;-;0,02;0,1;0,3;0,2;100;Olahan;Umbi;BKP;100
207;BP072;Tepung Ubi Ungu;9,4;354;2,8;0,6;84,4;12,9;2,8;89;125;3,9;42;940;0,8;0,6;-;-;-;0,4;0,02;-;0,2;100;Olahan;Umbi;BKP;100
208;BP073;Tiwul;11,2;353;2,4;1,1;83,4;6,5;1,6;55;95;4,7;5;670;0,2;0,8;-;-;-;0,02;0,02;0,1;3;100;Olahan;Umbi;BKP;100
209;BP074;Tiwul Instan;9,1;395;3,2;8,5;76,5;4,2;2,7;81;81;5,8;377;469;2,1;1,2;-;-;-;0,4;0,2;0,2;4;100;Olahan;Umbi;BKP;100
210;BP075;Ubi Cilembu;52,7;186;1,9;0,2;44,3;3,4;0,9;37;51;0,6;62;61,9;0,1;0,2;-;26.000;-;0,02;0,2;-;0,3;90;Olahan;Umbi;BKP;100
211;BP076;Uli batatas;66,5;150;1,1;4;27,4;-;1;-;23;0,1;6;112;0,1;0,2;-;-;-;0,53;-;1,3;-;100;Olahan;Umbi;KZGMI-2001;100
212;BR001;Arrowroot, segar;73,5;102;1;0,2;24,1;1,7;1,2;28;35;1,7;36;626,6;0,2;0,8;-;15;-;0,06;0,1;2,3;2;100;Tunggal;Umbi;KZGPI-1990;100
213;BR002;Batatas gembili, segar;76,7;76;1,1;0,9;16;4,2;0,7;-;40;0,2;10;200;0,2;0,3;-;-;-;0,06;-;0,9;-;85;Tunggal;Umbi;KZGMI-2001;100
214;BR003;Batatas kelapa, ubi, segar;76,1;89;1,1;0,1;21;4;0,7;-;40;0,2;20;340;0,1;0,2;-;-;-;0,38;-;0,9;-;85;Tunggal;Umbi;KZGMI-2001;100
215;BR004;Belitung, talas, segar;63,1;145;1,2;0,4;34,2;1,5;1,1;26;54;1,4;6;536,1;0,2;0,9;-;-;-;0,1;0,1;2,3;2;85;Tunggal;Umbi;KZGPI-1990;100
216;BR005;Bengkuang, segar;85,1;59;1,4;0,2;12,8;1;0,5;15;18;0,6;2;244,3;0,1;0,3;-;-;-;0,04;0,1;0,2;20;84;Tunggal;Umbi;DABM-1964;100
217;BR006;Bentul (Komba), talas, segar;75,8;98;1,6;0,7;20,9;0,7;1,8;44;66;1,5;-;195,5;0,2;0,6;-;-;-;0,02;0,1;0,8;-;86;Tunggal;Umbi;KZGPI-1990;100
218;BR007;Gadeng/Gadung, kering;20,2;322;2,4;0,6;76,6;-;0,2;39;22;2,2;5;2;0,5;0,2;-;-;-;0,45;0,02;1;-;100;Tunggal;Umbi;KZGMI-2001;100
219;BR008;Gadung, ubi, segar;74,4;100;0,9;0,3;23,5;2,1;0,9;79;66;0,9;8;687,2;0,2;0,2;-;-;-;0,23;-;0,5;2;85;Tunggal;Umbi;KZGPI-1990;100
220;BR009;Ganyong, segar;79,9;77;0,6;0,2;18,4;0,8;0,9;15;67;1;-;-;-;-;-;-;-;0,1;-;-;9;65;Tunggal;Umbi;KZGPI-1990;100
221;BR010;Gembili, ubi, segar;66,4;131;1,1;0,2;31,3;1,1;1;14;56;0,6;10;200;0,2;0,3;-;-;-;0,08;-;0,9;4;85;Tunggal;Umbi;KZGPI-1990;100
222;BR011;Hofa/Ubi hutan, segar;67,9;127;1,2;0,5;29,5;3,4;0,9;30;8;0,7;3;4;0,1;0,2;-;-;-;0,3;0,05;0,6;-;85;Tunggal;Umbi;KZGMI-2001;100
223;BR012;Kaburan, ubi, segar;66,5;133;1;0,2;32,2;0,7;0,5;65;50;0,6;10;899,2;0,2;0,2;-;-;-;0,01;-;0,3;-;81;Tunggal;Umbi;KZGPI-1990;100
224;BR013;Kentang, segar;83,4;62;2,1;0,2;13,5;0,5;0,8;63;58;0,7;7;396;0,4;0,3;-;-;-;0,09;0,1;1;21;85;Tunggal;Umbi;KZGPI-1990;100
225;BR014;Kentang hitam, segar;64;142;0,9;0,4;33,7;5,4;1;34;75;0,2;22;890,3;0,9;0,6;-;-;-;0,02;0,1;2,2;38;75;Tunggal;Umbi;DABM-1964;100
226;BR015;Keribang, ubi, segar;67;137;1,3;1,1;29,8;0,6;0,8;45;56;0,8;10;885,8;0,2;0,3;-;-;-;-;-;0,7;-;83;Tunggal;Umbi;KZGPI-1990;100
227;BR016;Ketela pohon/ singkong, segar;61,4;154;1;0,3;36,8;0,9;0,5;77;24;1,1;2;394;0,3;0,4;-;-;-;0,06;0,1;0,5;31;85;Tunggal;Umbi;KZGPI-1990;100
228;BR017;Lepok/Ubi rumput;55,3;181;2,8;1,2;39,8;10,7;0,9;7;50;3,1;116;306;1,6;0,9;-;-;-;0,28;0,05;1,5;-;85;Tunggal;Umbi;KZGMI-2001;100
229;BR018;Sagu aren, kering;11,9;355;0,6;1,1;85,6;0,3;0,8;91;167;2,2;2;200;-;0,3;-;-;-;0,04;0,1;0,5;-;100;Tunggal;Umbi;KZGPI-1990;100
230;BR019;Sagu aren, segar;42,5;231;0,6;0,2;56,6;3,2;0,1;20;20;0,1;7;-;0,1;0,1;-;-;-;0,2;-;-;-;100;Tunggal;Umbi;KZGMI-2001;100
231;BR020;Sagu kasbi segar;42,5;230;0,6;0,2;56,5;3;0,2;20;1;0,3;100;410;0,1;0,2;-;-;-;0,1;-;-;-;100;Tunggal;Umbi;KZGMI-2001;100
232;BR021;Sagu lempeng;13,5;347;0,9;0,3;85,2;4,7;0,1;30;30;0,2;11;-;0,1;0,1;-;-;-;0,3;-;-;-;100;Tunggal;Umbi;KZGMI-2001;100
233;BR022;Sagu singkong, kering;12;362;0,5;0,3;86,9;-;0,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Tunggal;Umbi;DABM-1964;100
234;BR023;Sente, talas, segar;14;353;0,7;0,2;84,7;6,6;0,4;11;13;1,5;30;694,6;0,6;2,2;-;41;-;0,05;0,2;2,8;5;86;Tunggal;Umbi;DABM-1964;100
235;BR024;Suweg, talas, segar;80,1;74;1,4;0,1;17,2;1,4;1,2;42;46;1,3;7;400;0,1;0,1;-;24;254;0,04;-;0,4;2;86;Tunggal;Umbi;KZGPI-1990;100
236;BR025;Talas bogor, segar;72,4;108;1,4;0,4;25;0,9;0,8;47;67;0,7;10;448;0,2;0,7;-;-;-;0,06;0,07;1;4;85;Tunggal;Umbi;KZGPI-1990;100
237;BR026;Talas pontianak, segar;60;163;2,3;0,5;36,4;0,7;0,9;45;80;1,7;14;323,1;0,3;1;-;-;-;0,02;0,1;1,3;-;83;Tunggal;Umbi;KZGPI-1990;100
238;BR027;Talas viqueque, segar;70,6;115;1,8;0,5;25,9;8,6;1,2;50;220;0,9;1;70;0,3;1;-;-;-;0,08;0,1;0,9;-;85;Tunggal;Umbi;KZGMI-2001;100
239;BR028;Ubi jalar, kuning, segar;72,6;119;0,5;0,4;25,1;4,2;1;30;40;0,4;3;1;0,1;0,2;-;794;4.948;0,06;0,07;0,7;-;85;Tunggal;Umbi;KZGMI-2001;100
240;BR029;Ubi jalar manis, segar;78,4;83;1,5;0,2;18,8;0,6;1,1;27;162;2,1;52;320,7;0,1;0,3;-;-;-;0,02;-;0,4;-;85;Tunggal;Umbi;KZGPI-1990;100
241;BR030;Ubi jalar merah, segar;61,9;151;1,6;0,3;35,4;0,7;0,6;29;74;0,7;92;565,6;0,3;0,5;-;-;1.208;0,13;0,08;0,7;11;86;Tunggal;Umbi;KZGPI-1990;100
242;BR031;Ubi jalar putih, segar;77,8;88;0,4;0,4;20,6;4;0,8;30;10;0,5;2;4;0,1;0,2;-;13;264;0,25;0,06;0,5;36;86;Tunggal;Umbi;KZGMI-2001;100
243;BR032;Ubi jalar tinta/ kemayung;72,5;108;0,5;0,4;25,6;4,2;1;30;40;0,5;1;1;0,1;0,2;-;13;-;0,09;0,06;0,6;24;85;Tunggal;Umbi;KZGMI-2001;100
