no.;Kode Baru;Nama Bahan Makanan;Komposisi Zat Gizi Makanan per 100 gram BDD (Bagian yang Dapat Dimakan) - Sumber: TKPI 2019;;;;;;;;;;;;;;;;;;;;;;Mentah /Olahan;Kelompok Makanan;Sumber TKPI 2019;Porsi (g)
;;;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium (Ca);Fosfor (P);Besi (Fe);Natrium (Na);Kalium (Ka);Tembaga (Cu);Seng (Zn);Retinol (vit. A);β-karoten;Karoten total;Thiamin (vit. B1);Riboflavin (vit. B2);Niasin;Vitamin C;BDD;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;(g);(Kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;
29;AP029;Biskuit;2,2;458;6,9;14,4;75,1;2,1;1,4;62;87;2,7;241;20,3;0,16;0,6;-;14;-;0,09;0,15;1,4;-;100;Olahan;Serealia;DABM-1964;100
30;AP030;Bakpia, kue;38,9;272;8,7;6,7;44,1;0,9;1,6;194;117;4,5;-;-;-;-;-;-;1.392;0,31;1;2,9;-;100;Olahan;Serealia;KZGPI-1990;100
31;AP031;Bakwan;40,5;280;8,2;10,2;39;3,4;2,1;204;79;7;-;-;-;-;-;-;-;0,08;-;-;-;100;Olahan;Serealia;KZGPI-1990;100
32;AP032;Bantal;52,3;190;3,3;0,3;43,5;3,4;0,6;9;-;0,4;164;84;0,2;0,9;-;-;-;0,27;0,02;3,6;-;100;Olahan;Serealia;KZGMI-2001;100
33;AP033;Baruasa;5,3;417;6,5;8,2;79,3;-;0,7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
34;AP034;Batar daan;75,3;107;2,2;2,2;19,6;-;0,7;20;30;0,6;200;90;0,1;-;-;-;-;0,18;0,02;-;-;100;Olahan;Serealia;KZGMI-2001;100
35;AP035;Bika ambon;51,5;199;2,1;1,5;44,4;0,3;0,6;45;28;1,8;-;-;-;-;-;-;408;0,1;-;-;-;100;Olahan;Serealia;KZGPI-1990;100
36;AP036;Bingka;44,4;273;5,3;10,6;39,1;-;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
37;AP037;Bobengka;46,3;225;5,3;2,6;45,2;-;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
38;AP038;Bolu peca;55,6;197;3,3;4,6;35,6;-;0,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
